Date;ExchangeRate
20070101;1,310522058
20070401;1,348496426
20070701;1,374597874
20071001;1,448303733
20080101;1,497336879
20080401;1,562717467
20080701;1,499246808
20081001;1,316026873
20090101;1,302304045
20090401;1,362282926
20090701;1,429930023
20091001;1,476703806
20100101;1,381781972
20100401;1,27023812
20100701;1,292909725
20101001;1,357776226
20110101;1,368895649
20110401;1,439753185
20110701;1,411369364
20111001;1,347262406
20120101;1,311357173
20120401;1,282035628
20120701;1,250126021
20121001;1,296916477
20130101;1,320040597
20130401;1,306373059
20130701;1,324634201
20131001;1,36164082
20140101;1,370114272
20140401;1,371213655
20140701;1,32400227
20141001;1,249397971
20150101;1,123762502
20150401;1,105833535
20150701;1,111850384
20151001;1,094161414
20160101;1,10276135
20160401;1,129179919
20160701;1,116175239
20161001;1,077282597
20170101;1,065655878
20170401;1,100508605
20170701;1,174771687
20171001;1,177544765
20180101;1,228345683
20180401;1,191226707
20180701;1,162782377
20181001;1,141197766
20190101;1,142768333
20190401;1,209482342
20190701;1,197461382
20191001;1,173433466
